id,x,y,demand,time_window_start,time_window_end,priority
0,116.352429,39.941039,0,0,86400,0
1,116.345955,39.945962,10,28800,86400,2
2,116.345482,39.948219,10,28800,86400,2
3,116.348974,39.948063,10,28800,86400,2
4,116.341475,39.949243,10,28800,86400,2
5,116.336052,39.953179,10,28800,86400,2
6,116.347557,39.954265,10,28800,86400,2
7,116.343845,39.952603,10,28800,86400,2
8,116.347669,39.952537,10,28800,86400,2
9,116.344409,39.958253,10,28800,86400,2
10,116.339550,39.958364,10,28800,86400,2
11,116.344994,39.960161,10,28800,86400,2
12,116.341229,39.961300,10,28800,86400,2
13,116.337249,39.960178,10,28800,86400,2
